Observer,Date,Site,Depth_m,Genus,Species,Percent_bleached,Percent_VN_dead,Percent_N_dead,Orientation,Note,Habitat,Percent_mortality,SizeStandardized,Percent_healthy,Percent_impact
DB,7/9/19,LTER1,5,Acropora,hyacinthus,0,0,100,B,NA,OR,100,10-29 cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,0,0,100,B,NA,OR,100,10-29 cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,30,70,0,B,NA,OR,70,10-29 cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,0,0,100,B,NA,OR,100,10-29 cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,0,0,100,B,NA,OR,100,10-29 cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,0,0,100,B,NA,OR,100,5-9 cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,0,0,100,B,NA,OR,100,5-9 cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,80,20,0,B,NA,OR,20,30+ cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,80,20,0,B,NA,OR,20,10-29 cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,50,50,0,B,NA,OR,50,5-9 cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,0,100,0,B,NA,OR,100,30+ cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,0,100,0,B,NA,OR,100,30+ cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,0,0,100,B,NA,OR,100,30+ cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,0,0,100,B,NA,OR,100,30+ cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,0,0,100,B,NA,OR,100,30+ cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,0,0,100,B,NA,OR,100,30+ cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,100,0,0,B,NA,OR,0,30+ cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,30,70,0,B,NA,OR,70,30+ cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,0,0,100,B,NA,OR,100,5-9 cm,0,100
DB,7/9/19,LTER1,5,Acropora,hyacinthus,100,0,0,B,NA,OR,0,10-29 cm,0,100
DB,7/9/19,LTER1,5,Acropora,lutkeni,0,0,100,B,NA,OR,100,10-29 cm,0,100
DB,7/9/19,LTER1,5,Acropora,nasuta,0,100,0,B,NA,OR,100,10-29 cm,0,100
DB,7/9/19,LTER1,10,Acropora,globiceps,95,5,0,B,NA,OR,5,30+ cm,0,100
DB,7/9/19,LTER1,10,Acropora,globiceps,100,0,0,B,NA,OR,0,10-29 cm,0,100
DB,7/9/19,LTER1,10,Acropora,globiceps,0,100,0,B,NA,OR,100,10-29 cm,0,100
DB,7/9/19,LTER1,10,Acropora,globiceps,95,5,0,B,NA,OR,5,10-29 cm,0,100
DB,7/9/19,LTER1,10,Acropora,globiceps,0,0,100,B,NA,OR,100,30+ cm,0,100
DB,7/9/19,LTER1,10,Acropora,globiceps,100,0,0,B,NA,OR,0,10-29 cm,0,100
